path,name,federalregister_agency_url,federalregister_child_ids,federalregister_child_ids_0,federalregister_child_ids_1,federalregister_child_ids_2,federalregister_child_ids_3,federalregister_child_ids_4,federalregister_child_ids_5,federalregister_child_ids_6,federalregister_child_ids_7,federalregister_child_ids_8,federalregister_child_ids_9,federalregister_child_ids_10,federalregister_child_ids_11,federalregister_child_ids_12,federalregister_child_ids_13,federalregister_child_ids_14,federalregister_child_ids_15,federalregister_child_ids_16,federalregister_child_ids_17,federalregister_child_ids_18,federalregister_child_ids_19,federalregister_child_ids_20,federalregister_child_ids_21,federalregister_child_ids_22,federalregister_child_ids_23,federalregister_child_ids_24,federalregister_child_ids_25,federalregister_child_ids_26,federalregister_child_ids_27,federalregister_child_ids_28,federalregister_child_ids_29,federalregister_child_ids_30,federalregister_child_ids_31,federalregister_child_ids_32,federalregister_child_slugs,federalregister_child_slugs_0,federalregister_child_slugs_1,federalregister_child_slugs_2,federalregister_child_slugs_3,federalregister_child_slugs_4,federalregister_child_slugs_5,federalregister_child_slugs_6,federalregister_child_slugs_7,federalregister_child_slugs_8,federalregister_child_slugs_9,federalregister_child_slugs_10,federalregister_child_slugs_11,federalregister_child_slugs_12,federalregister_child_slugs_13,federalregister_child_slugs_14,federalregister_child_slugs_15,federalregister_child_slugs_16,federalregister_child_slugs_17,federalregister_child_slugs_18,federalregister_child_slugs_19,federalregister_child_slugs_20,federalregister_child_slugs_21,federalregister_child_slugs_22,federalregister_child_slugs_23,federalregister_child_slugs_24,federalregister_child_slugs_25,federalregister_child_slugs_26,federalregister_child_slugs_27,federalregister_child_slugs_28,federalregister_child_slugs_29,federalregister_child_slugs_30,federalregister_child_slugs_31,federalregister_child_slugs_32,federalregister_description,federalregister_id,federalregister_json_url,federalregister_logo_medium_url,federalregister_logo_small_url,federalregister_logo_thumb_url,federalregister_name,federalregister_recent_articles_url,federalregister_short_name,federalregister_slug,federalregister_url
/US FEDERAL GOVERNMENT,US FEDERAL GOVERNMENT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,US FEDERAL GOVERNMENT,,,,
/US FEDERAL GOVERNMENT/[federalregister] ACTION (557),[federalregister] ACTION (557),,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"ACTION was established by Reorganization Plan No. 1 of 1971, effective July 1, 1971. 

ACTION's purpose was to mobilize Americans for voluntary service throughout the United States and in developing countries overseas through programs which help meet basic human needs and support the self-help efforts of low-income individuals and communities.

ACTION's functions relating to SCORE and ACT programs were transferred to the Small Business Administration. Other functions exercised by the Director of ACTION prior to March 31, 1995 were transferred to the Corporation for National and Community Service by 107 Stat. 888 and Proclamation 6662 of April 4, 1994. ",557,https://www.federalregister.gov/api/v1/agencies/557,,,,ACTION,https://www.federalregister.gov/api/v1/documents?conditions%5Bagency_ids%5D%5B%5D=557&order=newest,ACTION,action,https://www.federalregister.gov/agencies/action
/US FEDERAL GOVERNMENT/[federalregister] Administrative Conference of the United States (566),[federalregister] Administrative Conference of the United States (566),http://www.acus.gov/,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"The Administrative Conference of the United States (ACUS) was established under the Administrative Conference Act (5 U.S.C. 591-96), as a permanent independent agency of the Federal Government.

ACUS provides suitable arrangements through which Federal agencies, assisted by outside experts, may cooperatively study mutual problems, exchange information, and develop recommendations for action by proper authorities to the end that private rights may be fully protected and regulatory activities and other Federal responsibilities may be carried out expeditiously in the public interest.

Other purposes of the ACUS include the promotion of effective public participation and efficiency in the rulemaking process; The reduction of unnecessary litigation in the regulatory process; the improvement of the use of science in the regulatory process; and the improvement of the effectiveness of laws applicable to the regulatory process.

Following the loss of its funding in 1995, ACUS ceased operations from 1995 to 2010 at which time Congress reauthorized and refunded ACUS to re-initiate operations. ",566,https://www.federalregister.gov/api/v1/agencies/566,https://agency-logos.federalregister.gov/566/medium.gif?1308250528,https://agency-logos.federalregister.gov/566/small.gif?1308250528,https://agency-logos.federalregister.gov/566/thumb.gif?1308250528,Administrative Conference of the United States,https://www.federalregister.gov/api/v1/documents?conditions%5Bagency_ids%5D%5B%5D=566&order=newest,ACUS,administrative-conference-of-the-united-states,https://www.federalregister.gov/agencies/administrative-conference-of-the-united-states
/US FEDERAL GOVERNMENT/[federalregister] Administrative Office of United States Courts (3),[federalregister] Administrative Office of United States Courts (3),http://www.uscourts.gov/FederalCourts/UnderstandingtheFederalCourts/AdministrativeOffice.aspx,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Created in 1939, the Administrative Office of the United States Courts (AO) serves the federal Judiciary in carrying out its constitutional mission to provide equal justice under law.

The AO is the central support entity for the Judicial Branch. It provides a wide range of administrative, legal, financial, management, program, and information technology services to the federal courts. The AO provides support and staff counsel to the Judicial Conference of the United States and its committees, and implements and executes Judicial Conference policies, as well as applicable federal statutes and regulations. The AO facilitates communications within the Judiciary and with Congress, the Executive Branch, and the public on behalf of the Judiciary.



",3,https://www.federalregister.gov/api/v1/agencies/3,,,,Administrative Office of United States Courts,https://www.federalregister.gov/api/v1/documents?conditions%5Bagency_ids%5D%5B%5D=3&order=newest,AO,administrative-office-of-united-states-courts,https://www.federalregister.gov/agencies/administrative-office-of-united-states-courts
/US FEDERAL GOVERNMENT/[federalregister] Advisory Council on Historic Preservation (225),[federalregister] Advisory Council on Historic Preservation (225),http://www.achp.gov/,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"The Advisory Council on Historic Preservation (ACHP) is an independent federal agency that promotes the preservation, enhancement, and productive use of our nation's historic resources, and advises the President and Congress on national historic preservation policy. 

The goal of the National Historic Preservation Act (NHPA), which established the ACHP in 1966, is to have federal agencies act as responsible stewards of our nation's resources when their actions affect historic properties. The ACHP is the only entity with the legal responsibility to encourage federal agencies to factor historic preservation into federal project requirements. ",225,https://www.federalregister.gov/api/v1/agencies/225,https://agency-logos.federalregister.gov/225/medium.gif?1322513916,https://agency-logos.federalregister.gov/225/small.gif?1322513916,https://agency-logos.federalregister.gov/225/thumb.gif?1322513916,Advisory Council on Historic Preservation,https://www.federalregister.gov/api/v1/documents?conditions%5Bagency_ids%5D%5B%5D=225&order=newest,ACHP,advisory-council-on-historic-preservation,https://www.federalregister.gov/agencies/advisory-council-on-historic-preservation
/US FEDERAL GOVERNMENT/[federalregister] Agency for International Development (6),[federalregister] Agency for International Development (6),http://www.usaid.gov,,258,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,international-development-cooperation-agency,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"The United States Agency for International Development (USAID) is an independent Federal agency established by 22 U.S.C. 6563 that receives overall foreign policy guidance from the Secretary of State. Its principal statutory authority is the Foreign Assistance Act of 1961, as amended (22 U.S.C. 2151 et seq.). 

USAID serves as the focal point within the Government for economic matters affecting U.S. relations with developing countries. USAID administers international economic and humanitarian assistance programs. The Administrator is under the direct authority and foreign policy guidance of the Secretary of State.

For more information on the U.S. Agency for International Development’s organization  and activities, please visit the agency homepage at http://www.usaid.gov/.


",6,https://www.federalregister.gov/api/v1/agencies/6,https://agency-logos.federalregister.gov/6/medium.tif?1333045732,https://agency-logos.federalregister.gov/6/small.tif?1333045732,https://agency-logos.federalregister.gov/6/thumb.tif?1333045732,Agency for International Development,https://www.federalregister.gov/api/v1/documents?conditions%5Bagency_ids%5D%5B%5D=6&order=newest,USAID,agency-for-international-development,https://www.federalregister.gov/agencies/agency-for-international-development
/US FEDERAL GOVERNMENT/[federalregister] Agriculture Department (12),[federalregister] Agriculture Department (12),http://www.usda.gov/wps/portal/usda/usdahome,,9,10,22,76,85,119,123,157,163,198,200,201,202,209,244,302,303,350,376,395,454,456,457,458,459,460,536,547,549,581,593,597,604,,agricultural-marketing-service,agricultural-research-service,animal-and-plant-health-inspection-service,commodity-credit-corporation,cooperative-state-research-education-and-extension-service,economic-analysis-staff,economic-research-service,farm-service-agency,federal-crop-insurance-corporation,food-and-consumer-service,food-and-nutrition-service,food-safety-and-inspection-service,foreign-agricultural-service,forest-service,inspector-general-office-agriculture-department,national-agricultural-library,national-agricultural-statistics-service,national-institute-of-food-and-agriculture,natural-resources-conservation-service,operations-office,risk-management-agency,rural-business-cooperative-service,rural-housing-and-community-development-service,rural-housing-service,rural-telephone-bank,rural-utilities-service,energy-policy-and-new-uses-office,procurement-and-property-management-office-of,transportation-office,advocacy-and-outreach-office,office-of-the-chief-financial-officer-agriculture-department,us-codex-office,partnerships-and-public-engagement-office,"The Department of Agriculture works to improve and maintain farm income and to develop and expand markets abroad for agricultural products. The Department helps to curb and cure poverty, hunger, and malnutrition. It works to enhance the environment and to maintain production capacity by helping landowners protect the soil, water, forests, and other natural resources. The Department, through inspection and grading services, safeguards and ensures standards of quality in the daily food supply.

The Department of Agriculture (USDA) was created by act of May 15, 1862 (7 U.S.C. 2201).",12,https://www.federalregister.gov/api/v1/agencies/12,https://agency-logos.federalregister.gov/12/medium.png?1572032644,https://agency-logos.federalregister.gov/12/small.png?1572032644,https://agency-logos.federalregister.gov/12/thumb.png?1572032644,Agriculture Department,https://www.federalregister.gov/api/v1/documents?conditions%5Bagency_ids%5D%5B%5D=12&order=newest,USDA,agriculture-department,https://www.federalregister.gov/agencies/agriculture-department
/US FEDERAL GOVERNMENT/[federalregister] Air Quality National Commission (14),[federalregister] Air Quality National Commission (14),,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"The National Commission on Air Quality was a 13 member Commission created by the 1977 Clean Air Act Amendments. The Commission was required to report to Congress on the effectiveness of that law and on alternative approaches to controlling air pollution, in time for the next Congressional revision of clean air legislation. 

NCAQ was terminated upon submission of its final report on March 3, 1981.
",14,https://www.federalregister.gov/api/v1/agencies/14,,,,Air Quality National Commission,https://www.federalregister.gov/api/v1/documents?conditions%5Bagency_ids%5D%5B%5D=14&order=newest,NCAQ,air-quality-national-commission,https://www.federalregister.gov/agencies/air-quality-national-commission
/US FEDERAL GOVERNMENT/[federalregister] Air Transportation Stabilization Board (15),[federalregister] Air Transportation Stabilization Board (15),,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"On September 22, 2001, President Bush signed into law the Air Transportation Safety and System Stabilization Act (""Act"") (Public Law 107-42). The Act establishes the Air Transportation Stabilization Board (""Board""). The Board may issue up to $10 billion in Federal credit instruments, e.g. (loan guarantees).",15,https://www.federalregister.gov/api/v1/agencies/15,,,,Air Transportation Stabilization Board,https://www.federalregister.gov/api/v1/documents?conditions%5Bagency_ids%5D%5B%5D=15&order=newest,ATSB,air-transportation-stabilization-board,https://www.federalregister.gov/agencies/air-transportation-stabilization-board
/US FEDERAL GOVERNMENT/[federalregister] American Battle Monuments Commission (20),[federalregister] American Battle Monuments Commission (20),http://www.abmc.gov,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"The American Battle Monuments Commission (ABMC) was established by Congress in 1923 to commemorate the service, achievements, and sacrifice of U.S. armed forces where they have served overseas since 1917, and within the U.S. when directed by public law.

The ABMC commemorative mission is reflected in 24 overseas military cemeteries that serve as resting places for almost 125,000 American war dead; on Tablets of the Missing that memorialize more than 94,000 U.S. servicemen and women; and through 25 memorials, monuments and markers.",20,https://www.federalregister.gov/api/v1/agencies/20,https://agency-logos.federalregister.gov/20/medium.png?1306287839,https://agency-logos.federalregister.gov/20/small.png?1306287839,https://agency-logos.federalregister.gov/20/thumb.png?1306287839,American Battle Monuments Commission,https://www.federalregister.gov/api/v1/documents?conditions%5Bagency_ids%5D%5B%5D=20&order=newest,ABMC,american-battle-monuments-commission,https://www.federalregister.gov/agencies/american-battle-monuments-commission
