path,name,samgov_aacofficecode,samgov_agencycode,samgov_cgaclist_0_cgac,samgov_cgaclist_1_cgac,samgov_cgaclist_2_cgac,samgov_cgaclist_3_cgac,samgov_cgaclist_4_cgac,samgov_createdby,samgov_createddate,samgov_fhagencyorgname,samgov_fhdeptindagencyorgid,samgov_fhorgid,samgov_fhorgname,samgov_fhorgnamehistory_0_effectivedate,samgov_fhorgnamehistory_0_fhorgname,samgov_fhorgnamehistory_1_effectivedate,samgov_fhorgnamehistory_1_fhorgname,samgov_fhorgofficetypelist_0_officetype,samgov_fhorgofficetypelist_0_officetypeenddate,samgov_fhorgofficetypelist_0_officetypestartdate,samgov_fhorgofficetypelist_1_officetype,samgov_fhorgofficetypelist_1_officetypeenddate,samgov_fhorgofficetypelist_1_officetypestartdate,samgov_fhorgofficetypelist_2_officetype,samgov_fhorgofficetypelist_2_officetypeenddate,samgov_fhorgofficetypelist_2_officetypestartdate,samgov_fhorgofficetypelist_3_officetype,samgov_fhorgofficetypelist_3_officetypestartdate,samgov_fhorgparenthistory_0_actiontype,samgov_fhorgparenthistory_0_codehierarchy,samgov_fhorgparenthistory_0_effectivedate,samgov_fhorgparenthistory_0_fhfullparentpathid,samgov_fhorgparenthistory_0_fhfullparentpathname,samgov_fhorgparenthistory_1_actiontype,samgov_fhorgparenthistory_1_codehierarchy,samgov_fhorgparenthistory_1_effectivedate,samgov_fhorgparenthistory_1_fhfullparentpathid,samgov_fhorgparenthistory_1_fhfullparentpathname,samgov_fhorgparenthistory_2_actiontype,samgov_fhorgparenthistory_2_codehierarchy,samgov_fhorgparenthistory_2_effectivedate,samgov_fhorgparenthistory_2_fhfullparentpathid,samgov_fhorgparenthistory_2_fhfullparentpathname,samgov_fhorgparenthistory_3_actiontype,samgov_fhorgparenthistory_3_codehierarchy,samgov_fhorgparenthistory_3_effectivedate,samgov_fhorgparenthistory_3_fhfullparentpathid,samgov_fhorgparenthistory_3_fhfullparentpathname,samgov_fhorgparenthistory_4_actiontype,samgov_fhorgparenthistory_4_codehierarchy,samgov_fhorgparenthistory_4_effectivedate,samgov_fhorgparenthistory_4_fhfullparentpathid,samgov_fhorgparenthistory_4_fhfullparentpathname,samgov_fhorgparenthistory_5_actiontype,samgov_fhorgparenthistory_5_codehierarchy,samgov_fhorgparenthistory_5_effectivedate,samgov_fhorgparenthistory_5_fhfullparentpathid,samgov_fhorgparenthistory_5_fhfullparentpathname,samgov_fhorgtype,samgov_lastupdateddate,samgov_links_0_href,samgov_links_0_rel,samgov_links_1_href,samgov_links_1_rel,samgov_name,samgov_oldfpdsofficecode,samgov_status,samgov_updatedby
/US FEDERAL GOVERNMENT,US FEDERAL GOVERNMENT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,US FEDERAL GOVERNMENT,,,
/US FEDERAL GOVERNMENT/400 YEARS OF AFRICAN AMERICAN HISTORY COMMISSION (500174963),400 YEARS OF AFRICAN AMERICAN HISTORY COMMISSION (500174963),,2471,247,,,,,brian.gilman+supadmin@gsa.gov,2021-01-14 15:59,400 YEARS OF AFRICAN AMERICAN HISTORY COMMISSION,500174963,500174963,400 YEARS OF AFRICAN AMERICAN HISTORY COMMISSION,2018-01-08 00:00,400 YEARS OF AFRICAN AMERICAN HISTORY COMMISSION,,,,,,,,,,,,,,CREATE,,2018-01-08 00:00,500174963,400 YEARS OF AFRICAN AMERICAN HISTORY COMMISSION,,,,,,,,,,,,,,,,,,,,,,,,,,Department/Ind. Agency,2021-04-06 15:57,https://api.sam.gov/prod/federalorganizations/v1/orgs?fhorgid=500174963,self,,,400 YEARS OF AFRICAN AMERICAN HISTORY COMMISSION,,ACTIVE,update fpds_code from 247 to 2471
/US FEDERAL GOVERNMENT/ADMINISTRATIVE CONFERENCE OF THE U. S. (300000057),ADMINISTRATIVE CONFERENCE OF THE U. S. (300000057),,9515,302,,,,,IAE_DATA_TEAM,2017-10-05 12:35,ADMINISTRATIVE CONFERENCE OF THE U S,300000057,300000057,ADMINISTRATIVE CONFERENCE OF THE U. S.,1978-10-15 00:00,ADMINISTRATIVE CONFERENCE OF THE U. S.,,,,,,,,,,,,,,CREATE,,1978-10-15 00:00,300000057,ADMINISTRATIVE CONFERENCE OF THE U S,,,,,,,,,,,,,,,,,,,,,,,,,,Department/Ind. Agency,2019-09-14 18:41,https://api.sam.gov/prod/federalorganizations/v1/orgs?fhorgid=300000057,self,https://api.sam.gov/prod/federalorganizations/v1/org/hierarchy?fhorgid=300000057,nextlevelchildren,ADMINISTRATIVE CONFERENCE OF THE U. S.,,ACTIVE,FPDS_START_DATE_FIX
/US FEDERAL GOVERNMENT/ADMINISTRATIVE OFFICE OF THE U.S. COURTS (300000015),ADMINISTRATIVE OFFICE OF THE U.S. COURTS (300000015),,1027,010,,,,,IAE_DATA_TEAM,2017-10-05 12:35,ADMINISTRATIVE OFFICE OF THE US COURTS,300000015,300000015,ADMINISTRATIVE OFFICE OF THE U.S. COURTS,1957-07-01 00:00,ADMINISTRATIVE OFFICE OF THE U.S. COURTS,,,,,,,,,,,,,,CREATE,,1957-07-01 00:00,300000015,ADMINISTRATIVE OFFICE OF THE US COURTS,,,,,,,,,,,,,,,,,,,,,,,,,,Department/Ind. Agency,2020-06-30 09:56,https://api.sam.gov/prod/federalorganizations/v1/orgs?fhorgid=300000015,self,https://api.sam.gov/prod/federalorganizations/v1/org/hierarchy?fhorgid=300000015,nextlevelchildren,ADMINISTRATIVE OFFICE OF THE U.S. COURTS,,ACTIVE,IAE_37738_TAS2_FIX
/US FEDERAL GOVERNMENT/ADVISORY COUNCIL ON HISTORIC PRESERVATION (300000063),ADVISORY COUNCIL ON HISTORIC PRESERVATION (300000063),,9530,306,,,,,IAE_DATA_TEAM,2017-10-05 12:35,ADVISORY COUNCIL ON HISTORIC PRESERVATION,300000063,300000063,ADVISORY COUNCIL ON HISTORIC PRESERVATION,1998-01-01 00:00,ADVISORY COUNCIL ON HISTORIC PRESERVATION,,,,,,,,,,,,,,CREATE,,1998-01-01 00:00,300000063,ADVISORY COUNCIL ON HISTORIC PRESERVATION,,,,,,,,,,,,,,,,,,,,,,,,,,Department/Ind. Agency,2019-09-14 18:41,https://api.sam.gov/prod/federalorganizations/v1/orgs?fhorgid=300000063,self,https://api.sam.gov/prod/federalorganizations/v1/org/hierarchy?fhorgid=300000063,nextlevelchildren,ADVISORY COUNCIL ON HISTORIC PRESERVATION,,ACTIVE,FPDS_START_DATE_FIX
/US FEDERAL GOVERNMENT/AGENCY FOR INTERNATIONAL DEVELOPMENT (100148640),AGENCY FOR INTERNATIONAL DEVELOPMENT (100148640),,7200,072,,,,,,2005-07-21 00:00,AGENCY FOR INTERNATIONAL DEVELOPMENT,100148640,100148640,AGENCY FOR INTERNATIONAL DEVELOPMENT,1957-07-01 00:00,AGENCY FOR INTERNATIONAL DEVELOPMENT,,,,,,,,,,,,,,CREATE,,1957-07-01 00:00,100148640,AGENCY FOR INTERNATIONAL DEVELOPMENT,,,,,,,,,,,,,,,,,,,,,,,,,,Department/Ind. Agency,2019-11-21 23:04,https://api.sam.gov/prod/federalorganizations/v1/orgs?fhorgid=100148640,self,https://api.sam.gov/prod/federalorganizations/v1/org/hierarchy?fhorgid=100148640,nextlevelchildren,AGENCY FOR INTERNATIONAL DEVELOPMENT,7200,ACTIVE,FPDS_START_DATE_FIX
"/US FEDERAL GOVERNMENT/AGRICULTURE, DEPARTMENT OF (100006809)","AGRICULTURE, DEPARTMENT OF (100006809)",,1200,012,,,,,,2003-04-28 00:00,"AGRICULTURE, DEPARTMENT OF",100006809,100006809,"AGRICULTURE, DEPARTMENT OF",1957-07-01 00:00,"AGRICULTURE, DEPARTMENT OF",,,,,,,,,,,,,,CREATE,,1957-07-01 00:00,100006809,"AGRICULTURE, DEPARTMENT OF",,,,,,,,,,,,,,,,,,,,,,,,,,Department/Ind. Agency,2019-11-21 23:04,https://api.sam.gov/prod/federalorganizations/v1/orgs?fhorgid=100006809,self,https://api.sam.gov/prod/federalorganizations/v1/org/hierarchy?fhorgid=100006809,nextlevelchildren,"AGRICULTURE, DEPARTMENT OF",1200,ACTIVE,FPDS_START_DATE_FIX
/US FEDERAL GOVERNMENT/AMERICAN BATTLE MONUMENTS COMMISSION (300000042),AMERICAN BATTLE MONUMENTS COMMISSION (300000042),,7400,074,,,,,IAE_DATA_TEAM,2017-10-05 12:35,AMERICAN BATTLE MONUMENTS COMMISSION,300000042,300000042,AMERICAN BATTLE MONUMENTS COMMISSION,1957-07-01 00:00,AMERICAN BATTLE MONUMENTS COMMISSION,,,,,,,,,,,,,,CREATE,,1957-07-01 00:00,300000042,AMERICAN BATTLE MONUMENTS COMMISSION,,,,,,,,,,,,,,,,,,,,,,,,,,Department/Ind. Agency,2019-11-21 23:04,https://api.sam.gov/prod/federalorganizations/v1/orgs?fhorgid=300000042,self,https://api.sam.gov/prod/federalorganizations/v1/org/hierarchy?fhorgid=300000042,nextlevelchildren,AMERICAN BATTLE MONUMENTS COMMISSION,,ACTIVE,FPDS_START_DATE_FIX
/US FEDERAL GOVERNMENT/APPALACHIAN REGIONAL COMMISSION (300000713),APPALACHIAN REGIONAL COMMISSION (300000713),,4602,309,,,,,DATA TEAM,2017-12-11 15:45,APPALACHIAN REGIONAL COMMISSION,300000713,300000713,APPALACHIAN REGIONAL COMMISSION,2002-01-01 00:00,APPALACHIAN REGIONAL COMMISSION,,,,,,,,,,,,,,CREATE,,2002-01-01 00:00,300000713,APPALACHIAN REGIONAL COMMISSION,,,,,,,,,,,,,,,,,,,,,,,,,,Department/Ind. Agency,2019-09-14 18:41,https://api.sam.gov/prod/federalorganizations/v1/orgs?fhorgid=300000713,self,https://api.sam.gov/prod/federalorganizations/v1/org/hierarchy?fhorgid=300000713,nextlevelchildren,APPALACHIAN REGIONAL COMMISSION,,ACTIVE,FPDS_START_DATE_FIX
/US FEDERAL GOVERNMENT/ARCHITECT OF THE CAPITOL (300000004),ARCHITECT OF THE CAPITOL (300000004),,0100,001,,,,,IAE_DATA_TEAM,2017-10-05 12:35,ARCHITECT OF THE CAPITOL,300000004,300000004,ARCHITECT OF THE CAPITOL,2002-01-01 00:00,ARCHITECT OF THE CAPITOL,,,,,,,,,,,,,,CREATE,,2002-01-01 00:00,300000004,ARCHITECT OF THE CAPITOL,,,,,,,,,,,,,,,,,,,,,,,,,,Department/Ind. Agency,2019-09-14 18:41,https://api.sam.gov/prod/federalorganizations/v1/orgs?fhorgid=300000004,self,https://api.sam.gov/prod/federalorganizations/v1/org/hierarchy?fhorgid=300000004,nextlevelchildren,ARCHITECT OF THE CAPITOL,,ACTIVE,FPDS_START_DATE_FIX
